profile	path	class	seed	trials	audio_h	attempts	sync	crc_fail	legit	false	false_gate	false_d3	ub95_false_per_attempt	ub95_false_per_sync	ub95_false_per_hour	wall_s
default	oneshot	silence	64ad194270ecd063	13637	1.5001	13637	0	0	0	0	0	0	0.00022	nan	2	12.1
default	oneshot	wgn-40	324826cd04fa272b	27273	3.0000	27273	0	0	0	0	0	0	0.00011	nan	0.999	28.7
default	oneshot	wgn-20	324eb2cd04ff80bd	27273	3.0000	27273	0	0	0	0	0	0	0.00011	nan	0.999	28.7
default	oneshot	wgn-6	011c7f2c054ed533	27273	3.0000	27273	1	1	0	0	0	0	0.00011	3	0.999	29.8
default	oneshot	pink-20	631eeb580c13b161	27273	3.0000	27273	0	0	0	0	0	0	0.00011	nan	0.999	31.4
default	oneshot	music_offgrid	c9501f149d25d7dd	27273	3.0000	27273	3	3	0	0	0	0	0.00011	0.999	0.999	92.0
default	oneshot	music_ongrid	27fd5e0af638ea91	27273	3.0000	27273	0	0	0	0	0	0	0.00011	nan	0.999	29.6
default	oneshot	trill_ongrid	f063e9d80f5358b7	27273	3.0000	27273	5	5	0	0	0	0	0.00011	0.599	0.999	30.3
default	oneshot	clicks	18baa6731aa93079	27273	3.0000	27273	0	0	0	0	0	0	0.00011	nan	0.999	30.0
default	oneshot	trunc	dd695ea9b7d8d935	2100	0.2310	2100	2100	900	1200	0	0	0	0.00143	0.00143	13	2.4
default	oneshot	overlap	317c8d6986c35d98	2100	0.3058	2100	1800	604	1196	0	0	0	0.00143	0.00166	9.8	5.4
default	oneshot	badsync	bcabf83a1e541943	2400	0.2640	2400	920	20	900	0	0	0	0.00125	0.00326	11.3	2.7
default	oneshot	dataflip	630c4b6ff0598af6	3600	0.3960	3600	3600	1461	2139	0	0	0	0.000832	0.000832	7.56	4.3
default	oneshot	preamble	021f83809ac06e69	1200	0.1320	1200	600	600	0	0	0	0	0.0025	0.00499	22.7	1.0
default	oneshot	presync_random	7c9d3ae1343c5629	200000	22.0000	200000	200000	199998	0	2	0	1	3.15e-05	3.15e-05	0.286	234.6
default	oneshot	wrongprof<-aux	d818ff0311424785	1200	0.1320	1200	0	0	0	0	0	0	0.0025	nan	22.7	1.2
default	oneshot	wrongprof<-melody	a3e5d3db68d302bd	1200	1.6733	1200	0	0	0	0	0	0	0.0025	nan	1.79	60.9
default	stream	silence	2a68c68719ab61a9	13637	1.5001	0	0	0	0	0	0	0	nan	nan	2	2.0
default	stream	wgn-40	72d4b8aedab7f755	27273	3.0000	29	0	0	0	0	0	0	0.103	nan	0.999	8.8
default	stream	wgn-20	72ce2caedab29dc3	27273	3.0000	187	0	0	0	0	0	0	0.016	nan	0.999	9.8
default	stream	wgn-6	1eda100df006524d	27273	3.0000	190	0	0	0	0	0	0	0.0158	nan	0.999	10.1
default	stream	pink-20	cbebe7d61626ce0f	27273	3.0000	167	0	0	0	0	0	0	0.0179	nan	0.999	11.9
default	stream	music_offgrid	831f8d0aba82708f	27273	3.0000	18183	25	25	0	0	0	0	0.000165	0.12	0.999	131.8
default	stream	music_ongrid	41308acb1ebdbf2b	27273	3.0000	18768	0	0	0	0	0	0	0.00016	nan	0.999	70.0
default	stream	trill_ongrid	ced008243f87483d	27273	3.0000	18749	21	21	0	0	0	0	0.00016	0.143	0.999	70.6
default	stream	clicks	f13eb5066a2a1a27	27273	3.0000	0	0	0	0	0	0	0	nan	nan	0.999	9.7
default	stream	trunc	83000b251680cd01	2100	0.3815	0	0	0	0	0	0	0	nan	nan	7.85	0.8
default	stream	overlap	12325667e8a7d69c	2100	0.4563	2100	1800	320	1480	0	0	0	0.00143	0.00166	6.57	3.9
default	stream	badsync	a29078d9663d1777	2400	0.4360	2400	909	9	900	0	0	0	0.00125	0.0033	6.87	5.6
default	stream	dataflip	30570144102d1942	3600	0.6540	3600	3600	1461	2139	0	0	0	0.000832	0.000832	4.58	3.7
default	stream	preamble	63b948fd0ade59e5	1200	0.2180	0	0	0	0	0	0	0	nan	nan	13.7	0.2
default	stream	presync_random	b1fd6c5d245ab99d	200000	36.3333	200000	200000	199999	0	1	0	0	2.37e-05	2.37e-05	0.131	193.4
default	stream	wrongprof<-aux	fe75fb183c2bd2d9	1200	0.2180	0	0	0	0	0	0	0	nan	nan	13.7	0.4
default	stream	wrongprof<-melody	eafd33c97038dbb9	1200	1.7593	14400	0	0	0	0	0	0	0.000208	nan	1.7	57.1
aux	oneshot	silence	6f67d19d8effbfbe	10910	1.0001	10910	0	0	0	0	0	0	0.000275	nan	3	8.2
aux	oneshot	wgn-40	1eb314420bb60ba8	21819	2.0001	21819	41	41	0	0	0	0	0.000137	0.0731	1.5	18.9
aux	oneshot	wgn-20	1ec718420bc6bb7e	21819	2.0001	21819	43	43	0	0	0	0	0.000137	0.0697	1.5	18.8
aux	oneshot	wgn-6	7b40578ba0b064ee	21819	2.0001	21819	41	41	0	0	0	0	0.000137	0.0731	1.5	19.5
aux	oneshot	pink-20	555f55328081644c	21819	2.0001	21819	6	6	0	0	0	0	0.000137	0.499	1.5	21.0
aux	oneshot	music_offgrid	10412272b20ab864	21819	2.0001	21819	2	2	0	0	0	0	0.000137	1.5	1.5	60.6
aux	oneshot	music_ongrid	29ff87da5e4802ea	21819	2.0001	21819	0	0	0	0	0	0	0.000137	nan	1.5	20.2
aux	oneshot	trill_ongrid	e749079619334980	21819	2.0001	21819	6	6	0	0	0	0	0.000137	0.499	1.5	20.4
aux	oneshot	clicks	1359d1818f4f1c86	21819	2.0001	21819	48	48	0	0	0	0	0.000137	0.0624	1.5	19.7
aux	oneshot	trunc	5421197a73986ff4	2100	0.1925	2100	2100	900	1200	0	0	0	0.00143	0.00143	15.6	1.9
aux	oneshot	overlap	67248d0d83356219	2100	0.2534	2100	2100	893	1207	0	0	0	0.00143	0.00143	11.8	4.0
aux	oneshot	badsync	3129562bb340e756	2400	0.2200	2400	910	10	900	0	0	0	0.00125	0.00329	13.6	2.2
aux	oneshot	dataflip	9035469c0fe9a1f5	3600	0.3300	3600	3600	1443	2157	0	0	0	0.000832	0.000832	9.08	3.5
aux	oneshot	preamble	179dd22097da339a	1200	0.1100	1200	600	600	0	0	0	0	0.0025	0.00499	27.2	0.9
aux	oneshot	presync_random	202339e4fc663ce2	100000	9.1667	100000	100000	99999	0	1	0	0	4.74e-05	4.74e-05	0.518	96.0
aux	oneshot	wrongprof<-default	bb2840140fbba1f1	1200	0.1320	1200	0	0	0	0	0	0	0.0025	nan	22.7	1.8
aux	oneshot	wrongprof<-bass	bb6e06b4232991ff	1200	2.3933	1200	0	0	0	0	0	0	0.0025	nan	1.25	68.3
